language,setCode,translation
Russian,AVR,
Spanish,AVR,Avacyn Restored
Chinese Simplified,BBD,
Chinese Traditional,BBD,
French,BBD,Battlebond
German,BBD,Battlebond
Italian,BBD,Battlebond
Japanese,BBD,
Korean,BBD,
Portuguese (Brazil),BBD,
Russian,BBD,
Spanish,BBD,Battlebond
Chinese Simplified,BFZ,
Chinese Traditional,BFZ,
French,BFZ,La bataille de Zendikar
German,BFZ,Kampf um Zendikar
Italian,BFZ,Battaglia per Zendikar
Japanese,BFZ,
Korean,BFZ,
Portuguese (Brazil),BFZ,
Russian,BFZ,
Spanish,BFZ,La batalla por Zendikar
Chinese Simplified,BNG,
Chinese Traditional,BNG,
French,BNG,Créations divines
German,BNG,Born of the Gods
Italian,BNG,Born of the Gods
Japanese,BNG,
Korean,BNG,
Portuguese (Brazil),BNG,
Russian,BNG,
Spanish,BNG,Born of the Gods
Chinese Simplified,BOK,
Chinese Traditional,BOK,
French,BOK,Traîtres de Kamigawa
German,BOK,Verräter von Kamigawa
Italian,BOK,Traditori di Kamigawa
Japanese,BOK,
Korean,BOK,
Portuguese (Brazil),BOK,
Russian,BOK,
Spanish,BOK,Traidores de Kamigawa
Chinese Simplified,BRO,
Chinese Traditional,BRO,
French,BRO,La Guerre Fratricide
German,BRO,Krieg der Brüder
Italian,BRO,La Guerra dei Fratelli
Japanese,BRO,
Korean,BRO,
Portuguese (Brazil),BRO,
Russian,BRO,
Spanish,BRO,La Guerra de los Hermanos
Chinese Simplified,CHK,
Chinese Traditional,CHK,
French,CHK,Guerriers de Kamigawa
German,CHK,Meister von Kamigawa
Italian,CHK,Campioni di Kamigawa
Japanese,CHK,
Korean,CHK,
Portuguese (Brazil),CHK,
Russian,CHK,
Spanish,CHK,Campeones de Kamigawa
Chinese Simplified,CHR,
Chinese Traditional,CHR,
French,CHR,Chronicles
German,CHR,Chronicles
Italian,CHR,Chronicles
Japanese,CHR,
Korean,CHR,
Portuguese (Brazil),CHR,
Russian,CHR,
Spanish,CHR,Chronicles
Chinese Simplified,CLB,
Chinese Traditional,CLB,
French,CLB,Commander Légendes : la bataille de la Porte de Baldur
German,CLB,Commander Legends: Schlacht um Baldur’s Gate
Italian,CLB,Leggende di Commander: Battaglia per Baldur’s Gate
Japanese,CLB,
Korean,CLB,
Portuguese (Brazil),CLB,
Russian,CLB,
Spanish,CLB,Leyendas de Commander: Batalla por Puerta de Baldur
Chinese Simplified,CMM,
Chinese Traditional,CMM,
French,CMM,Commander Masters
German,CMM,Commander Masters
Italian,CMM,Commander Masters
Japanese,CMM,
Korean,CMM,
Portuguese (Brazil),CMM,
Russian,CMM,
Spanish,CMM,Commander Masters
Chinese Simplified,CMR,
Chinese Traditional,CMR,
French,CMR,Commander Legends
German,CMR,Commander Legends
Italian,CMR,Commander Legends
Japanese,CMR,
Korean,CMR,
Portuguese (Brazil),CMR,
Russian,CMR,
Spanish,CMR,Commander Legends
Chinese Simplified,CN2,
Chinese Traditional,CN2,
French,CN2,Conspiracy: Take the Crown
German,CN2,Conspiracy: Take the Crown
Italian,CN2,Conspiracy: Take the Crown
Japanese,CN2,
Korean,CN2,
Portuguese (Brazil),CN2,
Russian,CN2,
Spanish,CN2,Conspiracy: Take the Crown
Chinese Simplified,CNS,
Chinese Traditional,CNS,
French,CNS,Conspiration
German,CNS,Conspiracy
Italian,CNS,Conspiracy
Japanese,CNS,
Korean,CNS,
Portuguese (Brazil),CNS,
Russian,CNS,
Spanish,CNS,Conspiración
Chinese Simplified,CON,
Chinese Traditional,CON,
French,CON,Conflux
German,CON,Conflux
Italian,CON,Conflux
Japanese,CON,
Korean,CON,
Portuguese (Brazil),CON,
Russian,CON,
Spanish,CON,Conflux
Chinese Simplified,CSP,
Chinese Traditional,CSP,
French,CSP,Souffle glaciaire
German,CSP,Kälteeinbruch
Italian,CSP,Ondata Glaciale
Japanese,CSP,
Korean,CSP,
Portuguese (Brazil),CSP,
Russian,CSP,
Spanish,CSP,Ola de frío
Chinese Simplified,DBL,
Chinese Traditional,DBL,
French,DBL,Innistrad : Double Programme
German,DBL,Innistrad: Double Feature
Italian,DBL,Innistrad: Double Feature
Japanese,DBL,
Korean,DBL,
Portuguese (Brazil),DBL,
Russian,DBL,
Spanish,DBL,Innistrad: Double Feature
Chinese Simplified,DGM,
Chinese Traditional,DGM,
French,DGM,Le labyrinthe du dragon
German,DGM,Labyrinth des Drachen
Italian,DGM,Labirinto del Drago
Japanese,DGM,
Korean,DGM,
Portuguese (Brazil),DGM,
Russian,DGM,
Spanish,DGM,Laberinto del dragón
Chinese Simplified,DIS,
Chinese Traditional,DIS,
French,DIS,Discorde
German,DIS,Zwietracht
Italian,DIS,Discordia
Japanese,DIS,
Korean,DIS,
Portuguese (Brazil),DIS,
Russian,DIS,
Spanish,DIS,Discordia
Chinese Simplified,DKA,
Chinese Traditional,DKA,
French,DKA,Obscure Ascension
German,DKA,Dunkles Erwachen
Italian,DKA,Dark Ascension
Japanese,DKA,
Korean,DKA,
Portuguese (Brazil),DKA,
Russian,DKA,
Spanish,DKA,Dark Ascension
Chinese Simplified,DMR,
Chinese Traditional,DMR,
French,DMR,Dominaria Remastered
German,DMR,Dominaria Remastered
Italian,DMR,Dominaria Remastered
Japanese,DMR,
Korean,DMR,
Portuguese (Brazil),DMR,
Russian,DMR,
Spanish,DMR,Dominaria remasterizada
Chinese Simplified,DMU,
Chinese Traditional,DMU,
French,DMU,Dominaria Uni
German,DMU,Dominarias Bund
Italian,DMU,Dominaria Unita
Japanese,DMU,
Korean,DMU,
Portuguese (Brazil),DMU,
Russian,DMU,
Spanish,DMU,Dominaria Unida
Chinese Simplified,DOM,
