language,setCode,translation
Italian,P02,Portal Seconda Era
Japanese,P02,
Korean,P02,
Portuguese (Brazil),P02,
Russian,P02,
Spanish,P02,Portal Segunda Edad
Chinese Simplified,PCY,
Chinese Traditional,PCY,
French,PCY,Prophétie
German,PCY,Prophezeihung
Italian,PCY,Profezia
Japanese,PCY,
Korean,PCY,
Portuguese (Brazil),PCY,
Russian,PCY,
Spanish,PCY,Profecía
Chinese Simplified,PLC,
Chinese Traditional,PLC,
French,PLC,Chaos planaire
German,PLC,Weltenchaos
Italian,PLC,Caos Dimensionale
Japanese,PLC,
Korean,PLC,
Portuguese (Brazil),PLC,
Russian,PLC,
Spanish,PLC,Caos planar
Chinese Simplified,PLS,
Chinese Traditional,PLS,
French,PLS,Planeshift
German,PLS,Weltenwechsel
Italian,PLS,Congiunzione
Japanese,PLS,
Korean,PLS,
Portuguese (Brazil),PLS,
Russian,PLS,
Spanish,PLS,Transmigración
Chinese Simplified,POR,
Chinese Traditional,POR,
French,POR,Portal
German,POR,Portal
Italian,POR,Portal
Japanese,POR,
Korean,POR,
Portuguese (Brazil),POR,
Russian,POR,
Spanish,POR,Portal
Chinese Simplified,PTK,
Chinese Traditional,PTK,
French,PTK,Portal Three Kingdoms
German,PTK,Portal Three Kingdoms
Italian,PTK,Portal Three Kingdoms
Japanese,PTK,
Korean,PTK,
Portuguese (Brazil),PTK,
Russian,PTK,
Spanish,PTK,Portal Three Kingdoms
Chinese Simplified,RAV,
Chinese Traditional,RAV,
French,RAV,Ravnica: La Cité des Guildes
German,RAV,Ravnica: Stadt der Gilden
Italian,RAV,Ravnica: Città delle Gilde
Japanese,RAV,
Korean,RAV,
Portuguese (Brazil),RAV,
Russian,RAV,
Spanish,RAV,Rávnica: Ciudad de Gremios
Chinese Simplified,REN,
Chinese Traditional,REN,
French,REN,Renaissance
German,REN,Renaissance
Italian,REN,Renaissance
Japanese,REN,
Korean,REN,
Portuguese (Brazil),REN,
Russian,REN,
Spanish,REN,Renaissance
Chinese Simplified,RIN,
Chinese Traditional,RIN,
French,RIN,Rinascimento
German,RIN,Rinascimento
Italian,RIN,Rinascimento
Japanese,RIN,
Korean,RIN,
Portuguese (Brazil),RIN,
Russian,RIN,
Spanish,RIN,Rinascimento
Chinese Simplified,RIX,
Chinese Traditional,RIX,
French,RIX,Les combattants d'Ixalan
German,RIX,Rivalen von Ixalan
Italian,RIX,Rivali di Ixalan
Japanese,RIX,
Korean,RIX,
Portuguese (Brazil),RIX,
Russian,RIX,
Spanish,RIX,Rivales de Ixalan
Chinese Simplified,RNA,
Chinese Traditional,RNA,
French,RNA,L'allégeance de Ravnica
German,RNA,Ravnica Allegiance
Italian,RNA,Ravnica Allegiance
Japanese,RNA,
Korean,RNA,
Portuguese (Brazil),RNA,
Russian,RNA,
Spanish,RNA,La lealtad de Ravnica
Chinese Simplified,ROE,
Chinese Traditional,ROE,
French,ROE,L'ascension des Eldrazi
German,ROE,Aufstieg der Eldrazi
Italian,ROE,Ascesa degli Eldrazi
Japanese,ROE,
Korean,ROE,
Portuguese (Brazil),ROE,
Russian,ROE,
Spanish,ROE,Levantamiento de los Eldrazi
Chinese Simplified,RTR,
Chinese Traditional,RTR,
French,RTR,Retour à Ravnica
German,RTR,Return to Ravnica
Italian,RTR,Return to Ravnica
Japanese,RTR,
Korean,RTR,
Portuguese (Brazil),RTR,
Russian,RTR,
Spanish,RTR,Vuelta a Ravnica
Chinese Simplified,S99,
Chinese Traditional,S99,
French,S99,Starter 1999
German,S99,Starter 1999
Italian,S99,Starter 1999
Japanese,S99,
Korean,S99,
Portuguese (Brazil),S99,
Russian,S99,
Spanish,S99,Starter 1999
Chinese Simplified,SCG,
Chinese Traditional,SCG,
French,SCG,Fléau
German,SCG,Plagen
Italian,SCG,Flagello
Japanese,SCG,
Korean,SCG,
Portuguese (Brazil),SCG,
Russian,SCG,
Spanish,SCG,Azote
Chinese Simplified,SHM,
Chinese Traditional,SHM,
French,SHM,Sombrelande
German,SHM,Schattenmoor
Italian,SHM,Landa Tenebrosa
Japanese,SHM,
Korean,SHM,
Portuguese (Brazil),SHM,
Russian,SHM,
Spanish,SHM,Páramo Sombrío
Chinese Simplified,SNC,
Chinese Traditional,SNC,
French,SNC,Les rues de la Nouvelle-Capenna
German,SNC,Straßen von Neu-Capenna
Italian,SNC,Strade di Nuova Capenna
Japanese,SNC,
Korean,SNC,
Portuguese (Brazil),SNC,
Russian,SNC,
Spanish,SNC,Calles de Nueva Capenna
Chinese Simplified,SOI,
Chinese Traditional,SOI,
French,SOI,Ténèbres sur Innistrad
German,SOI,Schatten über Innistrad
Italian,SOI,Ombre su Innistrad
Japanese,SOI,
Korean,SOI,
Portuguese (Brazil),SOI,
Russian,SOI,
Spanish,SOI,Sombras sobre Innistrad
Chinese Simplified,SOK,
Chinese Traditional,SOK,
French,SOK,Libérateurs de Kamigawa
German,SOK,Retter von Kamigawa
Italian,SOK,Liberatori di Kamigawa
Japanese,SOK,
Korean,SOK,
Portuguese (Brazil),SOK,
Russian,SOK,
Spanish,SOK,Salvadores de Kamigawa
Chinese Simplified,SOM,
Chinese Traditional,SOM,
French,SOM,Cicatrices de Mirrodin
German,SOM,Narben von Mirrodin
Italian,SOM,Cicatrici di Mirrodin
Japanese,SOM,
Korean,SOM,
Portuguese (Brazil),SOM,
Russian,SOM,
Spanish,SOM,Cicatrices de Mirrodin
Chinese Simplified,STH,
Chinese Traditional,STH,
French,STH,Forteresse
German,STH,Felsenburg
Italian,STH,Fortezza
Japanese,STH,
Korean,STH,
Portuguese (Brazil),STH,
Russian,STH,
Spanish,STH,Fortaleza
Chinese Simplified,STX,
Chinese Traditional,STX,
French,STX,Strixhaven: l'Académie des Mages
German,STX,Strixhaven: Akademie der Magier
Italian,STX,Strixhaven: Scuola dei Maghi
Japanese,STX,
Korean,STX,
Portuguese (Brazil),STX,
Russian,STX,
Spanish,STX,Strixhaven: Academia de Magos
Chinese Simplified,THB,
Chinese Traditional,THB,
French,THB,Theros Beyond Death
German,THB,Theros Beyond Death
Italian,THB,Theros Beyond Death
Japanese,THB,
Korean,THB,
Portuguese (Brazil),THB,
Russian,THB,
Spanish,THB,Theros Beyond Death
Chinese Simplified,THS,
Chinese Traditional,THS,
French,THS,Theros
German,THS,Theros
Italian,THS,Theros
Japanese,THS,
Korean,THS,
Portuguese (Brazil),THS,
Russian,THS,
Spanish,THS,Theros
Chinese Simplified,TMP,
Chinese Traditional,TMP,
French,TMP,Tempête
German,TMP,Sturmwind
Italian,TMP,Tempesta
Japanese,TMP,
Korean,TMP,
Portuguese (Brazil),TMP,
Russian,TMP,
Spanish,TMP,Tempestad
Chinese Simplified,TOR,
Chinese Traditional,TOR,
French,TOR,Tourment
German,TOR,Qualen
Italian,TOR,Tormento
Japanese,TOR,
Korean,TOR,
Portuguese (Brazil),TOR,
Russian,TOR,
Spanish,TOR,Tormento
Chinese Simplified,TSP,
Chinese Traditional,TSP,
French,TSP,Spirale Temporelle
German,TSP,Zeitspirale
Italian,TSP,Spirale Temporale
Japanese,TSP,
Korean,TSP,
Portuguese (Brazil),TSP,
Russian,TSP,
Spanish,TSP,Espiral del Tiempo
Chinese Simplified,TSR,
Chinese Traditional,TSR,
French,TSR,Spirale Temporelle Remastered
German,TSR,Zeitspirale Remastered
Italian,TSR,Spirale Temporale Remastered
Japanese,TSR,
Korean,TSR,
Portuguese (Brazil),TSR,
Russian,TSR,
Spanish,TSR,Espiral del tiempo Remasterizada
Chinese Simplified,UDS,
Chinese Traditional,UDS,
French,UDS,Destinée d'Urza
German,UDS,Urzas Schicksal
Italian,UDS,Destino di Urza
Japanese,UDS,
Korean,UDS,
Portuguese (Brazil),UDS,
Russian,UDS,
Spanish,UDS,El Destino de Urza
Chinese Simplified,UGL,
Chinese Traditional,UGL,
French,UGL,Unglued
German,UGL,Unglued
Italian,UGL,Unglued
Japanese,UGL,
Korean,UGL,
Portuguese (Brazil),UGL,
Russian,UGL,
Spanish,UGL,Unglued
Chinese Simplified,ULG,
Chinese Traditional,ULG,
French,ULG,Héritage d'Urza
German,ULG,Urzas Vermächtnis
Italian,ULG,Eredità di Urza
Japanese,ULG,
Korean,ULG,
Portuguese (Brazil),ULG,
Russian,ULG,
Spanish,ULG,El Legado de Urza
Chinese Simplified,UMA,
Chinese Traditional,UMA,
French,UMA,Ultimate Masters
German,UMA,Ultimate Masters
Italian,UMA,Ultimate Masters
Japanese,UMA,
Korean,UMA,
Portuguese (Brazil),UMA,
Russian,UMA,
Spanish,UMA,Ultimate Masters
Chinese Simplified,UNF,
Chinese Traditional,UNF,
French,UNF,Unfinity
German,UNF,Unfinity
Italian,UNF,Unfinity
Japanese,UNF,
Korean,UNF,
Portuguese (Brazil),UNF,
Russian,UNF,
Spanish,UNF,Unfinity
Chinese Simplified,UNH,
Chinese Traditional,UNH,
French,UNH,Unhinged
German,UNH,Unhinged
Italian,UNH,Unhinged
Japanese,UNH,
Korean,UNH,
Portuguese (Brazil),UNH,
Russian,UNH,
Spanish,UNH,Unhinged
Chinese Simplified,USG,
Chinese Traditional,USG,
French,USG,Epopée d'Urza
German,USG,Urzas Saga
Italian,USG,Saga di Urza
Japanese,USG,
Korean,USG,
Portuguese (Brazil),USG,
Russian,USG,
Spanish,USG,La Saga de Urza
Chinese Simplified,UST,
Chinese Traditional,UST,
French,UST,Unstable
German,UST,Unstable
Italian,UST,Unstable
Japanese,UST,
Korean,UST,
Portuguese (Brazil),UST,
Russian,UST,
Spanish,UST,Unstable
Chinese Simplified,VIS,
Chinese Traditional,VIS,
French,VIS,Visions
German,VIS,Visionen
Italian,VIS,Visioni
Japanese,VIS,
Korean,VIS,
Portuguese (Brazil),VIS,
Russian,VIS,
Spanish,VIS,Visiones
Chinese Simplified,VOW,
Chinese Traditional,VOW,
French,VOW,Innistrad : noce écarlate
German,VOW,Innistrad: Blutroter Bund
Italian,VOW,Innistrad: Promessa Cremisi
Japanese,VOW,
Korean,VOW,
Portuguese (Brazil),VOW,
Russian,VOW,
Spanish,VOW,Innistrad: Compromiso escarlata
Chinese Simplified,WAR,
Chinese Traditional,WAR,
French,WAR,La guerre des Planeswalkers
German,WAR,Krieg der Funken
Italian,WAR,La Guerra della Scintilla
Japanese,WAR,
Korean,WAR,
Portuguese (Brazil),WAR,
Russian,WAR,
Spanish,WAR,La Guerra de la Chispa
Chinese Simplified,WTH,
Chinese Traditional,WTH,
French,WTH,Aquilon
German,WTH,Wetterlicht
Italian,WTH,Cavalcavento
Japanese,WTH,
Korean,WTH,
Portuguese (Brazil),WTH,
Russian,WTH,
Spanish,WTH,El Vientoligero
Chinese Simplified,WWK,
Chinese Traditional,WWK,
French,WWK,Worldwake
German,WWK,Weltenerwachen
Italian,WWK,Worldwake
Japanese,WWK,
Korean,WWK,
Portuguese (Brazil),WWK,
Russian,WWK,
Spanish,WWK,Despertar del Mundo
Chinese Simplified,XLN,
Chinese Traditional,XLN,
French,XLN,Ixalan
German,XLN,Ixalan
Italian,XLN,Ixalan
Japanese,XLN,
Korean,XLN,
Portuguese (Brazil),XLN,
Russian,XLN,
Spanish,XLN,Ixalan
Chinese Simplified,ZEN,
Chinese Traditional,ZEN,
French,ZEN,Zendikar
German,ZEN,Zendikar
Italian,ZEN,Zendikar
Japanese,ZEN,
Korean,ZEN,
Portuguese (Brazil),ZEN,
Russian,ZEN,
Spanish,ZEN,Zendikar
Chinese Simplified,ZNR,
Chinese Traditional,ZNR,
French,ZNR,Renaissance de Zendikar
German,ZNR,Zendikars Erneuerung
Italian,ZNR,Rinascita di Zendikar
Japanese,ZNR,
Korean,ZNR,
Portuguese (Brazil),ZNR,
Russian,ZNR,
Spanish,ZNR,El resurgir de Zendikar
